rank,id,composite,tier_a_pass,chemotype,site,cnn_pose_F_mean,cnn_pose_F_stdev,cnn_pkd_F,vina_F,selectivity_score,n_site_F_contacts,mmgbsa_de_kcal,boltz_kd_uM,boltz_prob_binder,boltz_ipTM,smiles
78,gen_0047,0.3063,True,novel_BRICS_recombinant,F,0.527,0.1037,5.64,-6.86,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(-c3ncco3)c2cc1N
79,FM002150_analog_0040,0.3061,False,fragment_FM002150_growing,F,0.8087,0.0897,4.624,-5.75,,,,,,,NC(=O)c1cccc(COCC(=O)O)c1
80,FM001452_analog_0201,0.3059,True,fragment_FM001452_growing,F,0.77,0.0849,4.691,-6.07,,,,,,,NC(=O)Nc1cccc(OCc2ccccc2)c1
81,gen_0011,0.3054,False,novel_BRICS_recombinant,F,0.3318,0.0599,6.103,-8.35,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(C(=O)c3ccc4c(c3)NC(=O)C(C)O4)c2cc1N
82,Z795991852_analog_0047,0.3053,False,quinazolinone_triazole_chromene_amide,F,0.4268,0.0707,5.949,-7.88,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(OC4Cc5ccccc5O4)c3)nnc12
83,Z795991852_analog_0012,0.3051,False,quinazolinone_triazole_chromene_amide,F,0.4364,0.0806,5.911,-7.83,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC(=O)C4Cc5ccccc5O4)c3)nnc12
84,Z795991852_analog_0022,0.3045,False,quinazolinone_triazole_chromene_amide,F,0.4481,0.1056,5.992,-7.25,,,,,,,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
85,Z795991852_analog_0036,0.3042,False,quinazolinone_triazole_chromene_amide,F,0.4006,0.0748,5.954,-8.34,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12
86,Z795991852_analog_0089,0.3038,False,quinazolinone_triazole_chromene_amide,F,0.4271,0.1028,5.91,-7.97,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(OCC4Cc5ccccc5O4)c3)nnc12
87,FM001580_analog_0022,0.3034,False,fragment_FM001580_growing,F,0.8255,0.0757,4.397,-5.91,,,-0.83,129.337,0.3151,0.7489,O=C(O)c1c(CO)cccc1OC(F)(F)F
88,FM002150_analog_0069,0.3034,True,fragment_FM002150_growing,F,0.7625,0.0378,4.714,-6.03,,,,,,,NC(=O)c1ccc(COCC(=O)O)cc1
89,FM001580_analog_0038,0.3028,False,fragment_FM001580_growing,F,0.8218,0.1774,4.075,-6.11,,,,,,,O=C(O)c1ccc(OC(F)(F)F)c(C(=O)O)c1
90,Z795991852_analog_0056,0.3023,False,quinazolinone_triazole_chromene_amide,F,0.3906,0.0779,6.05,-8.08,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(NC4Cc5ccccc5O4)c3)nnc12
91,FM001452_analog_0018,0.3021,False,fragment_FM001452_growing,F,0.7972,0.099,4.366,-6.14,,,,,,,NC(=O)c1ccc(OCc2ccccc2)cc1N
92,Z795991852_analog_0061,0.3017,False,quinazolinone_triazole_chromene_amide,F,0.3904,0.088,6.045,-8.08,,,,,,,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NC4Cc5ccccc5O4)c3)nnc12
93,FM001580_analog_0100,0.301,False,fragment_FM001580_growing,F,0.7964,0.1698,4.396,-6.11,,,,,,,NC(=O)c1cccc(C(=O)O)c1OC(F)(F)F
94,FM001580_analog_0047,0.3005,False,fragment_FM001580_growing,F,0.814,0.1062,4.041,-6.02,,,,,,,Nc1ccc(OC(F)(F)F)c(C(=O)O)c1
95,FM001452_analog_0108,0.3005,False,fragment_FM001452_growing,F,0.8514,0.1463,3.88,-6.02,,,,,,,Nc1cccc(OCc2ccccc2OCCO)c1
96,FM002150_analog_0055,0.3005,False,fragment_FM002150_growing,F,0.8235,0.145,4.234,-6.02,,,,,,,O=C(O)COCc1cccc(-c2ccoc2)c1
97,Z795991852_analog_0037,0.3001,False,quinazolinone_triazole_chromene_amide,F,0.4255,0.0969,5.848,-8.1,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OCC4Cc5ccccc5O4)c3)nnc12
98,gen_0064,0.2999,True,novel_BRICS_recombinant,F,0.5918,0.1393,5.402,-6.51,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(OCC(=O)O)c2cc1N
99,FM001580_analog_0009,0.2982,False,fragment_FM001580_growing,F,0.7878,0.0795,4.054,-6.17,,,,,,,O=C(O)c1cccc(OC(F)(F)F)c1C(=O)O
100,Z795991852_analog_0048,0.2977,False,quinazolinone_triazole_chromene_amide,F,0.3903,0.081,6.15,-7.5,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12
