id,smiles,reachability_score,best_reaction,reachable_via,bb1_smiles,bb2_smiles,amide_coupling_match,suzuki_match,buchwald_match,urea_match,thiourea_match,n_alkyl_match,o_alkyl_match
Z795991852_analog_0066,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C4Cc5ccccc5O4)c3)nnc12,1.0,buchwald_hartwig,"buchwald_hartwig,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,[H]Nc1cccc(C2Cc3ccccc3O2)c1,0,0,1,0,0,0,1
Z795991852_analog_0039,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C1=Cc=c-c(C(=O)OC(=O)c2=n-n=c3-n(C)-c(=O)-c4=c-c=c-c=c-4-n-2-3)=C1,[H]Oc1ccccc1C,0,0,0,0,0,0,1
Z795991852_analog_0029,Cn1c(=O)c2ccccc2n2c(C(=O)NCC3Cc4ccccc4O3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",Cn1c(=O)c2ccccc2n2c(C(=O)O)nnc12,[H]NCC1Cc2ccccc2O1,1,0,0,0,0,0,1
gen_0018,COc1cc2nc(-c3cccc(N)c3)nc(N(C)c3ncccc3F)c2cc1N,0.85,buchwald_hartwig,"suzuki_miyaura,buchwald_hartwig,n_alkylation,o_alkylation",Fc1cccnc1Br,[H]N(C)c1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12,0,1,1,0,0,1,1
FM001452_analog_0128,Nc1cccc(OCc2cccc(C(F)(F)F)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",FC(F)(F)c1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
gen_0056,COc1cc2nc(-c3cccc(N)c3)nc(N(C)c3cccnc3)c2cc1N,0.85,buchwald_hartwig,"suzuki_miyaura,buchwald_hartwig,n_alkylation,o_alkylation",Brc1cccnc1,[H]N(C)c1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12,0,1,1,0,0,1,1
Z795991852_analog_0040,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C1=Cc=c-c(C(=O)OCc2=n-n=c3-n(C)-c(=O)-c4=c-c=c-c=c-4-n-2-3)=C1,[H]Oc1ccccc1C,0,0,0,0,0,0,1
Z795991852_analog_0054,Cn1c(=O)c2ccccc2n2c(Oc3cccc(CNC4Cc5ccccc5O4)c3)nnc12,0.745,n_alkylation,"n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Oc3cccc(CBr)c3)nnc12,[H]NC1Cc2ccccc2O1,0,0,0,0,0,1,1
Z795991852_analog_0094,Cn1c(=O)c2ccccc2n2c(-c3cccc(COCC4Cc5ccccc5O4)c3)nnc12,0.85,suzuki_miyaura,"suzuki_miyaura,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,OB(O)c1cccc(COCC2Cc3ccccc3O2)c1,0,1,0,0,0,0,1
Z795991852_analog_0046,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C1=Cc=c-c(OC(=O)c2=n-n=c3-n(C)-c(=O)-c4=c-c=c-c=c-4-n-2-3)=C1,[H]Oc1ccccc1C,0,0,0,0,0,0,1
